"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 22:56:10 IST 2023","Fri Nov 03 22:56:10 IST 2023","0","testcases","test_016_screenshot","Test_016_ss","","","test_016_sum",""
"passed","Fri Nov 03 22:56:03 IST 2023","Fri Nov 03 22:56:10 IST 2023","7668","testcases","test_016_screenshot","Test_016_ss","","","test_016_screenshots",""
